,PO No.,PO Item No.,Incoterms Name,Material/Service No.,PO Item Description,Manufacturer Name,Vendor Name,Manufacturer Part No.,Long Description,PO Item Creation Date,PO Item Quantity,PO Item Quantity Unit,PO Item Value (GC),PO Item Value (GC) Unit,Product Category,Product Category Description,PO Status Name,Region,score,path,desc,desc_words_short,desc_words_long,base_index,Unit Price
875354,4301234571,27,Free Carrier,11042252,"RELAY,TD:ADJSTBL,MULTI FUNCTION,WATCHDOG",SOLAR TURBINES,SOLAR TURBINES EUROPE SA,1071411-1,"RELAY,TIME DELAY: ADJUSTABLE,MULTI FUNCTION,WATCHDOG",2021-01-07,1.0,EA,132.25,USD,39121500,Switches/CTRL/Relay,Ordered,AGT,0.9,[1.1.1],m_p,"['RELAY', 'TD', 'ADJSTBL', 'MULTI', 'FUNCTION', 'WATCHDOG']","['RELAY', 'TIME', 'DELAY', 'ADJUSTABLE', 'MULTI', 'FUNCTION', 'WATCHDOG']",875354,132.25
651137,4300583062,4,From plant,11042222,RELAY:10A 24VDC,SOLAR TURBINES,SOLAR TURBINES EUROPE SA,1076251-1,"RELAY: 24DCV,10A",2016-01-30,1.0,EA,131.65,USD,39121500,Switches/CTRL/Relay,Transaction Completed,AGT,0.9,[1.1.1],m_p,"['RELAY', '10A', '24VDC']","['RELAY', '24DCV', '10A']",651137,131.65
651136,4300583062,3,From plant,11042223,"RELAY:10A 24VDC,SOCKET MOUNT",SOLAR TURBINES,SOLAR TURBINES EUROPE SA,1076251-2,"SOCKET,ELECTRICAL: RELAY,24DCV,10A",2016-01-30,1.0,EA,5.44,USD,39121500,Switches/CTRL/Relay,Transaction Completed,AGT,0.9,[1.1.1],m_p,"['RELAY', '10A', '24VDC', 'SOCKET', 'MOUNT']","['SOCKET', 'ELECTRICAL', 'RELAY', '24DCV', '10A']",651136,5.44
857390,4301184778,1,Free Carrier,36500788932,"ELMNT,FILTER:BARRIER,CEL",SOLAR TURBINES,SOLAR TURBINES EUROPE SA,1089034-3,"FILTER,CARTRIDGE: BARRIER,AIR,CELLULOSE ELEMENT",2020-04-13,4.0,EA,295.32,USD,32130000,ELEC hardware/comp,Transaction Completed,AGT,0.9,[1.1.1],m_p,"['ELMNT', 'FILTER', 'BARRIER', 'CEL']","['FILTER', 'CARTRIDGE', 'BARRIER', 'AIR', 'CELLULOSE', 'ELEMENT']",857390,73.83
819599,4301085945,1,Free Carrier,11028056,"MODULE,PLC:FLEX,ANALOG INPUT,8 CHANNEL I",SOLAR TURBINES,SOLAR TURBINES EUROPE SA,108924031,"MODULE: PLC,FAST RTD/THERMOCOUPLE ANALOG INPUT,8 CHANNEL,24VDCV INPUT,95MAINPUT A,FLEX,FLEXBUS CURRENT RATING: 40MA,PEAK VOLTAGE: 5VDC",2019-06-14,1.0,EA,1794.31,USD,32151705,PLC Module,Transaction Completed,AGT,0.9,[1.3.2],m_p,"['MODULE', 'PLC', 'FLEX', 'ANALOG', 'INPUT', '8', 'CHANNEL', 'I']","['MODULE', 'PLC', 'FAST', 'RTD', 'THERMOCOUPLE', 'ANALOG', 'INPUT', '8', 'CHANNEL', '24VDCV', 'INPUT', '95MAINPUT', 'A', 'FLEX', 'FLEXBUS', 'CURRENT', 'RATING', '40MA', 'PEAK', 'VOLTAGE', '5VDC']",819599,1794.31
651134,4300583062,1,From plant,11042243,POWER SUPPLY:24VDC 42W,SOLAR TURBINES,SOLAR TURBINES EUROPE SA,1089241-28,"POWER SUPPLY: 24VDC,42W",2016-01-30,2.0,EA,2302.96,USD,39121004,PWR supply unit,Transaction Completed,AGT,0.9,[1.1.1],m_p,"['POWER', 'SUPPLY', '24VDC', '42W']","['POWER', 'SUPPLY', '24VDC', '42W']",651134,1151.48
830937,4301114128,3,Free Carrier,36500878827,"DETECTOR:DISCRETE, THERMAL",SOLAR TURBINES,SOLAR TURBINES EUROPE SA,1105336-1,"DETECTOR: DISCRETE,THERMAL",2019-08-28,2.0,EA,1406.44,USD,41111900,Indicating/rec INSTR,Transaction Completed,AGT,0.9,[1.1.1],m_p,"['DETECTOR', 'DISCRETE', 'THERMAL']","['DETECTOR', 'DISCRETE', 'THERMAL']",830937,703.22
875363,4301234571,7,Free Carrier,36500880111,ISOLTR:RESISTANCE REPEATER,SOLAR TURBINES,SOLAR TURBINES EUROPE SA,1106298-29,ISOLATOR: RESISTANCE REPEATER,2021-01-07,3.0,EA,1459.62,USD,32100000,Printed circuits,Ordered,AGT,0.9,[1.1.1],m_p,"['ISOLTR', 'RESISTANCE', 'REPEATER']","['ISOLATOR', 'RESISTANCE', 'REPEATER']",875363,486.53999999999996
813008,4301066898,1,Free Carrier,36500895916,"CBL:IGNITION,84IN LG",SOLAR TURBINES,SOLAR TURBINES EUROPE SA,120710-1,"CABLE: IGNITION,84IN LG",2019-04-22,4.0,EA,2599.12,USD,31150000,Rope/chain/CBL/wire,Transaction Completed,AGT,0.9,[2.1.1],m_p,"['CBL', 'IGNITION', '84IN', 'LG']","['CABLE', 'IGNITION', '84IN', 'LG']",813008,649.78
802980,4301041068,1,Free Carrier,11165229,"SWTCH,PROX:MAGNETIC SPEED",SOLAR TURBINES,SOLAR TURBINES EUROPE SA,1470281-1,"SWITCH,LIMIT: MAGNETIC SPEED,PROXIMITY",2019-02-11,1.0,EA,217.65,USD,41111900,Indicating/rec INSTR,Transaction Completed,AGT,0.9,[1.1.1],m_p,"['SWTCH', 'PROX', 'MAGNETIC', 'SPEED']","['SWITCH', 'LIMIT', 'MAGNETIC', 'SPEED', 'PROXIMITY']",802980,217.65
648549,4300573627,3,Free Carrier,36500789014,"REGULATOR,PRESSURE:POPPET,1/4IN",SOLAR TURBINES,SOLAR TURBINES EUROPE SA,186273-42,"VALVE: PRESSURE REGULATING,POPPET,1/4IN",2016-01-12,2.0,EA,1235.96,USD,41112404,Pressure regulator,Transaction Completed,AGT,0.9,[1.1.1],m_p,"['REGULATOR', 'PRESSURE', 'POPPET', '1', '4IN']","['VALVE', 'PRESSURE', 'REGULATING', 'POPPET', '1', '4IN']",648549,617.98
748927,4300873679,10,Free Carrier,11159048,MODULE:MULTI CABLE TRANSIT,SOLAR TURBINES,SOLAR TURBINES EUROPE SA,190261-16,"MODULE: MULTI CABLE TRANSIT,20/11 INSERT BLOCK",2017-12-01,20.0,EA,282.4,USD,32151802,Safety CTRL module,Transaction Completed,AGT,0.9,[1.1.1],m_p,"['MODULE', 'MULTI', 'CABLE', 'TRANSIT']","['MODULE', 'MULTI', 'CABLE', 'TRANSIT', '20', '11', 'INSERT', 'BLOCK']",748927,14.12
751565,4300881037,3,Free Carrier,11159048,MODULE:MULTI CABLE TRANSIT,SOLAR TURBINES,SOLAR TURBINES EUROPE SA,190261-16,"MODULE: MULTI CABLE TRANSIT,20/11 INSERT BLOCK",2017-12-19,20.0,EA,282.4,USD,32151802,Safety CTRL module,Transaction Completed,AGT,0.9,[1.1.1],m_p,"['MODULE', 'MULTI', 'CABLE', 'TRANSIT']","['MODULE', 'MULTI', 'CABLE', 'TRANSIT', '20', '11', 'INSERT', 'BLOCK']",751565,14.12
