BP Material / Service Master No.,Supplier Part No. / Reference,BP Short Description,BP Long Description,Supplier Description,Manufacturer Name,Manufacturer Part Number,UOM,Last Price,Description,Price Valid From,Price Valid to,Incoterms Key,2021 rates
,36006708,"MAGNA PG 150,DRUM OF 208L","OIL,INDUSTRIAL:COMPRESSOR,1.05G/ML AT 20DEG C,POLYALKYLENE GLYCOL,CRESTA PG 150,LIQUID,ISO 150,208L DRUM,147.1CST AT 40DEG C/27.7CST   AT 100DEG C,230,246DEG C,CLEAR GRAY,-42DEG C","MAGNA PG 150,DRUM OF 208L",CASTROL,,EA,3690,"['MAGNA', 'PG', '150', 'DRUM', 'OF', '208L']",11/20/2017,10/13/2021,,3890.59
,36006671,"ATF DXII,1L PAIL","OIL,AUTOMOTIVE:TRANSMISSION,AUTRAN MBX,RED,1L BOTTLE,39MM2/S AT 40DEG C/7.2MM2/S AT 100DEG C,217DEG C,-42DEG C","ATF DXII,1L PAIL",CASTROL,,EA,4.5,"['ATF', 'DXII', '1L', 'PAIL']",11/20/2017,10/13/2021,,-1
,36006766,"TRIBOL GR-XT 2 HT,CAN OF 18KG","GREASE,INDUSTRIAL:HIGH TEMPERATURE,TRIBOL GR XT 2 HT,18KG DRUM/PAIL,2,-25 TO 180DEG C,POLYUREA,270MM SQ/SEC AT 40DEC C,RED","TRIBOL GR-XT 2 HT,CAN OF 18KG",CASTROL,3739/18,EA,236.7,"['TRIBOL', 'GR-XT', '2', 'HT', 'CAN', 'OF', '18KG']",11/20/2017,10/13/2021,,243.85
,36059336,"CONTAINER:INTERMEDIATE BULK,1CU M,PLAS,W","CONTAINER:INTERMEDIATE BULK,1CU M,PLASTIC,WASTE/NEW OIL STORAGE","CONTAINER:INTERMEDIATE BULK,1M3,PLASTIC,",,,EA,185,"['CONTAINER:INTERMEDIATE', 'BULK', '1CU', 'M', 'PLAS', 'W']",11/20/2017,10/13/2021,,221.82
,36006927,"ALPHASYN T220,CAN OF 20L","OIL:GEAR,CASTROL ALPHASYN T 220,20L CAN","ALPHASYN T220,CAN OF 20L",CASTROL,1767175,EA,265.5,"['ALPHASYN', 'T220', 'CAN', 'OF', '20L']",11/20/2017,10/13/2021,,333.13
,36006738,"EASTMAN TURBO OIL 2197,DRUM OF 208L","OIL,INDUSTRIAL:SYNTHETIC/TURBINE,208L DRUM,27MM2/S AT 40DEG C,262DEG C,AMBER,-57DEG C","EASTMAN TURBO OIL 2197,DRUM OF 208L",EASTMAN,2197,EA,3150.43,"['EASTMAN', 'TURBO', 'OIL', '2197', 'DRUM', 'OF', '208L']",11/20/2017,10/13/2021,,-1
,36006892,"NCS 30 ECF,CAN OF 20KG","COMPOUND:DRILL STRING DOPE,ECF,20KG PAIL,BEIGE","NCS 30 ECF,CAN OF 20KG",JET-LUBE,23715,EA,331,"['NCS', '30', 'ECF', 'CAN', 'OF', '20KG']",11/20/2017,10/13/2021,,364.1
,36006893,"AIRCOL PD 46,DRUM OF 208L","OIL,INDUSTRIAL:AIR COMPRESSOR/MINERAL,AIRCOL PD 46,LIQUID,208L DRUM,46MM2/S AT 40DEG C/6.7MM2/S AT 40DEG C,100,232DEG C,LIGHT AMBER,  -21DEG C","AIRCOL PD 46,DRUM OF 208L",CASTROL,2166/208,EA,741.42,"['AIRCOL', 'PD', '46', 'DRUM', 'OF', '208L']",11/20/2017,10/13/2021,,949.07
,36006667,"WTR:DISTILLED,20L CAN","WATER:DISTILLED,20L CAN","WATER:DISTILLED,20L CAN",,,EA,19,"['WTR:DISTILLED', '20L', 'CAN']",11/20/2017,10/13/2021,,19
,36006724,"ALPHA SP 100,CAN OF 20L","OIL,INDUSTRIAL:GEAR,ALPHA SP 100,20L,95-105CST AT 40DEG C,80,200DEG C,AMBER,-21DEG C","ALPHA SP 100,CAN OF 20L",CASTROL,3182/20,EA,67.04,"['ALPHA', 'SP', '100', 'CAN', 'OF', '20L']",11/20/2017,10/13/2021,,97.05
,36006722,"AXLE EPX 80W-90,DRUM OF 208L","OIL,AUTOMOTIVE:GEAR,LIQUID,AMBER,ENERGEAR HYPO 80W90,DRUM OF 208L,80W90,GL-4/5,132MM2/S AT 40DEG C/13.9MM2/S AT 100DEG C,220DEG C,-3  0DEG C","AXLE EPX 80W-90,DRUM OF 208L",CASTROL,,EA,634.34,"['AXLE', 'EPX', '80W-90', 'DRUM', 'OF', '208L']",11/20/2017,10/13/2021,,920.68
,36006727,"ALPHASYN EP 460,CAN OF 20L","OIL,INDUSTRIAL:GEAR/GEARBOX/SYNTHETIC,ALPHASYN EP 460,20L PAIL,460MM2/S AT 40DEG C,140,230DEG C,YELLOW,-36DEG C","ALPHASYN EP 460,CAN OF 20L",CASTROL,3143/20,EA,278.38,"['ALPHASYN', 'EP', '460', 'CAN', 'OF', '20L']",11/20/2017,10/13/2021,,390.53
,36006767,"SPHEEROL EPL00,CAN OF 18KG","GREASE,INDUSTRIAL:EXTREME PRESSURE,SPHEEROL EPL00,18KG DRUM,00,LITHIUM,150-200MM SQ/SEC AT 40DEC C,AMBER-BROWN","SPHEEROL EPL00,CAN OF 18KG",CASTROL,9029/15,EA,162,"['SPHEEROL', 'EPL00', 'CAN', 'OF', '18KG']",11/20/2017,10/13/2021,,181.76
,36006913,"PERFECTO T32,CAN OF 20L","OIL,INDUSTRIAL:TURBINE,0.874KG/M3 AT 20DEG C,PERFECTO T32,LIQUID,20L DRUM,32CST AT 40DEG C VISCOSITY,102 VISCOSITY,200DEG C FLASH PO  INT,AMBER,-12DEG C","PERFECTO T32,CAN OF 20L",CASTROL,2104/20,EA,58.86,"['PERFECTO', 'T32', 'CAN', 'OF', '20L']",11/20/2017,10/13/2021,,93.81
,36006911,"GEAR,ALPHA SP 460,CAN,20L","OIL,INDUSTRIAL:GEAR,881KG/M3 AT 15DEG C,LIQUID,ALPHA SP 460,20L CAN,460MM2/S AT 40DEG C/30.5MM2/S AT 100DEG C,GREATER THAN 95,220DEG   C,AMBER,-6DEG C","GEAR,ALPHA SP 460,CAN,20L",CASTROL,3186/20,EA,72,"['GEAR', 'ALPHA', 'SP', '460', 'CAN', '20L']",11/20/2017,10/13/2021,,-1
,36006906,"HYSPIN AWH-M 32,DRUM OF 208L","OIL,INDUSTRIAL:HYDRAULIC,HYSPIN AWH-M 32,LIQUID,208L DRUM,32MM2/S AT 40DEG C/6.41MM2/S AT 40DEG C,150,200DEG C,LIGHT YELLOW,-45DEG C","HYSPIN AWH-M 32,DRUM OF 208L",CASTROL,6154/208,EA,792.81,"['HYSPIN', 'AWH-M', '32', 'DRUM', 'OF', '208L']",11/20/2017,10/13/2021,,1056.02
,36006924,TECTION/VECTON MONOGRADE 40,"OIL,AUTOMOTIVE:ENGINE,TECTION MONOGRADE 40,208L DRUM",TECTION/VECTON MONOGRADE 40,CASTROL,464855,EA,650.75,"['TECTION/VECTON', 'MONOGRADE', '40']",11/20/2017,10/13/2021,,722.33
,36006717,"555,CAN OF 5L","OIL,INDUSTRIAL:COMPRESSOR/SYNTHETIC,ANDEROL 555,97CST AT 40DEG C VISCOSITY/9.3CST AT 100DEG C VISCOSITY,274DEG C FLASH POINT,YELLOW,  -35DEG C","555,CAN OF 5L",ANDEROL,555,EA,108,"['555', 'CAN', 'OF', '5L']",11/20/2017,10/13/2021,,-1
