,PO No.,PO Item No.,Incoterms Name,Material/Service No.,PO Item Description,Manufacturer Name,Vendor Name,Manufacturer Part No.,Long Description,PO Item Creation Date,PO Item Quantity,PO Item Quantity Unit,PO Item Value (GC),PO Item Value (GC) Unit,Product Category,Product Category Description,PO Status Name,Region,sim_score,path,desc_from,desc_words_short,desc_words_long,Unit Price
509680,4301001002,1,Not assigned,113,"OIL,INDUST:ANTI-WEAR",CASTROL,Lubricants UK Limited,6154/20,"OIL: ANTI-WEAR,HYDRAULIC,MINERAL,HYSPIN AWH-M 32,32 CST AT 40 DEG C/6.3 CST AT 100 DEG C,ISO VG 32,20 L PAIL,LIGHT YELLOW,DENSITY: 0.874 KG/L AT 15 DEG C,FLASH POINT: 180 DEG C,FORM: LIQUID,POUR POINT: -42 DEG C,VISCOSITY INDEX: 150,0.88 G/ML @ 15 DEG C DENSITY,6.41 CST @ 100 DEG C VISCOSITY,MINERAL ANTI-WEAR",2018-10-20,6,EA,257.29,USD,12181600,Oils,Transaction Completed,UKS,0.9,[2.1.1],m_p,"['OIL', 'INDUST', 'ANTI', 'WEAR']","['OIL', 'ANTI', 'WEAR', 'HYDRAULIC', 'MINERAL', 'HYSPIN', 'AWH', 'M', '32', '32', 'CST', 'AT', '40', 'DEG', 'C', '6.3', 'CST', 'AT', '100', 'DEG', 'C', 'ISO', 'VG', '32', '20', 'L', 'PAIL', 'LIGHT', 'YELLOW', 'DENSITY', '0.874', 'KG', 'L', 'AT', '15', 'DEG', 'C', 'FLASH', 'POINT', '180', 'DEG', 'C', 'FORM', 'LIQUID', 'POUR', 'POINT', '42', 'DEG', 'C', 'VISCOSITY', 'INDEX', '150', '0.88', 'G', 'ML', '@', '15', 'DEG', 'C', 'DENSITY', '6.41', 'CST', '@', '100', 'DEG', 'C', 'VISCOSITY', 'MINERAL', 'ANTI', 'WEAR']",42.88166666666667
513128,4301017736,1,Not assigned,113,"OIL,INDUST:ANTI-WEAR",CASTROL,Lubricants UK Limited,6154/20,"OIL: ANTI-WEAR,HYDRAULIC,MINERAL,HYSPIN AWH-M 32,32 CST AT 40 DEG C/6.3 CST AT 100 DEG C,ISO VG 32,20 L PAIL,LIGHT YELLOW,DENSITY: 0.874 KG/L AT 15 DEG C,FLASH POINT: 180 DEG C,FORM: LIQUID,POUR POINT: -42 DEG C,VISCOSITY INDEX: 150,0.88 G/ML @ 15 DEG C DENSITY,6.41 CST @ 100 DEG C VISCOSITY,MINERAL ANTI-WEAR",2018-12-08,8,EA,335.43,USD,12181600,Oils,Transaction Completed,UKS,0.9,[2.1.1],m_p,"['OIL', 'INDUST', 'ANTI', 'WEAR']","['OIL', 'ANTI', 'WEAR', 'HYDRAULIC', 'MINERAL', 'HYSPIN', 'AWH', 'M', '32', '32', 'CST', 'AT', '40', 'DEG', 'C', '6.3', 'CST', 'AT', '100', 'DEG', 'C', 'ISO', 'VG', '32', '20', 'L', 'PAIL', 'LIGHT', 'YELLOW', 'DENSITY', '0.874', 'KG', 'L', 'AT', '15', 'DEG', 'C', 'FLASH', 'POINT', '180', 'DEG', 'C', 'FORM', 'LIQUID', 'POUR', 'POINT', '42', 'DEG', 'C', 'VISCOSITY', 'INDEX', '150', '0.88', 'G', 'ML', '@', '15', 'DEG', 'C', 'DENSITY', '6.41', 'CST', '@', '100', 'DEG', 'C', 'VISCOSITY', 'MINERAL', 'ANTI', 'WEAR']",41.92875
514387,4301024330,1,Not assigned,113,"OIL,INDUST:ANTI-WEAR",CASTROL,Lubricants UK Limited,6154/20,"OIL: ANTI-WEAR,HYDRAULIC,MINERAL,HYSPIN AWH-M 32,32 CST AT 40 DEG C/6.3 CST AT 100 DEG C,ISO VG 32,20 L PAIL,LIGHT YELLOW,DENSITY: 0.874 KG/L AT 15 DEG C,FLASH POINT: 180 DEG C,FORM: LIQUID,POUR POINT: -42 DEG C,VISCOSITY INDEX: 150,0.88 G/ML @ 15 DEG C DENSITY,6.41 CST @ 100 DEG C VISCOSITY,MINERAL ANTI-WEAR",2018-12-27,2,EA,83.56,USD,12181600,Oils,Transaction Completed,UKS,0.9,[2.1.1],m_p,"['OIL', 'INDUST', 'ANTI', 'WEAR']","['OIL', 'ANTI', 'WEAR', 'HYDRAULIC', 'MINERAL', 'HYSPIN', 'AWH', 'M', '32', '32', 'CST', 'AT', '40', 'DEG', 'C', '6.3', 'CST', 'AT', '100', 'DEG', 'C', 'ISO', 'VG', '32', '20', 'L', 'PAIL', 'LIGHT', 'YELLOW', 'DENSITY', '0.874', 'KG', 'L', 'AT', '15', 'DEG', 'C', 'FLASH', 'POINT', '180', 'DEG', 'C', 'FORM', 'LIQUID', 'POUR', 'POINT', '42', 'DEG', 'C', 'VISCOSITY', 'INDEX', '150', '0.88', 'G', 'ML', '@', '15', 'DEG', 'C', 'DENSITY', '6.41', 'CST', '@', '100', 'DEG', 'C', 'VISCOSITY', 'MINERAL', 'ANTI', 'WEAR']",41.78
523100,4301070744,1,Not assigned,113,"OIL,INDUST:ANTI-WEAR",CASTROL,Lubricants UK Limited,6154/20,"OIL: ANTI-WEAR,HYDRAULIC,MINERAL,HYSPIN AWH-M 32,32 CST AT 40 DEG C/6.3 CST AT 100 DEG C,ISO VG 32,20 L PAIL,LIGHT YELLOW,DENSITY: 0.874 KG/L AT 15 DEG C,FLASH POINT: 180 DEG C,FORM: LIQUID,POUR POINT: -42 DEG C,VISCOSITY INDEX: 150,0.88 G/ML @ 15 DEG C DENSITY,6.41 CST @ 100 DEG C VISCOSITY,MINERAL ANTI-WEAR",2019-05-01,2,EA,84.77,USD,12181600,Oils,Transaction Completed,UKS,0.9,[2.1.1],m_p,"['OIL', 'INDUST', 'ANTI', 'WEAR']","['OIL', 'ANTI', 'WEAR', 'HYDRAULIC', 'MINERAL', 'HYSPIN', 'AWH', 'M', '32', '32', 'CST', 'AT', '40', 'DEG', 'C', '6.3', 'CST', 'AT', '100', 'DEG', 'C', 'ISO', 'VG', '32', '20', 'L', 'PAIL', 'LIGHT', 'YELLOW', 'DENSITY', '0.874', 'KG', 'L', 'AT', '15', 'DEG', 'C', 'FLASH', 'POINT', '180', 'DEG', 'C', 'FORM', 'LIQUID', 'POUR', 'POINT', '42', 'DEG', 'C', 'VISCOSITY', 'INDEX', '150', '0.88', 'G', 'ML', '@', '15', 'DEG', 'C', 'DENSITY', '6.41', 'CST', '@', '100', 'DEG', 'C', 'VISCOSITY', 'MINERAL', 'ANTI', 'WEAR']",42.385
527113,4301091937,2,Free Carrier,113,"OIL,INDUST:MINERAL, ANTI-WEAR, HYDRAULIC",CASTROL,Lubricants UK Limited,6154/20,"OIL: ANTI-WEAR,HYDRAULIC,MINERAL,HYSPIN AWH-M 32,32 CST AT 40 DEG C/6.3 CST AT 100 DEG C,ISO VG 32,20 L PAIL,LIGHT YELLOW,DENSITY: 0.874 KG/L AT 15 DEG C,FLASH POINT: 180 DEG C,FORM: LIQUID,POUR POINT: -42 DEG C,VISCOSITY INDEX: 150,0.88 G/ML @ 15 DEG C DENSITY,6.41 CST @ 100 DEG C VISCOSITY,MINERAL ANTI-WEAR",2019-07-02,2,EA,83.48,USD,12181600,Oils,Transaction Completed,UKS,0.9,[2.1.1],m_p,"['OIL', 'INDUST', 'MINERAL', 'ANTI', 'WEAR', 'HYDRAULIC']","['OIL', 'ANTI', 'WEAR', 'HYDRAULIC', 'MINERAL', 'HYSPIN', 'AWH', 'M', '32', '32', 'CST', 'AT', '40', 'DEG', 'C', '6.3', 'CST', 'AT', '100', 'DEG', 'C', 'ISO', 'VG', '32', '20', 'L', 'PAIL', 'LIGHT', 'YELLOW', 'DENSITY', '0.874', 'KG', 'L', 'AT', '15', 'DEG', 'C', 'FLASH', 'POINT', '180', 'DEG', 'C', 'FORM', 'LIQUID', 'POUR', 'POINT', '42', 'DEG', 'C', 'VISCOSITY', 'INDEX', '150', '0.88', 'G', 'ML', '@', '15', 'DEG', 'C', 'DENSITY', '6.41', 'CST', '@', '100', 'DEG', 'C', 'VISCOSITY', 'MINERAL', 'ANTI', 'WEAR']",41.74
527114,4301091937,3,Free Carrier,113,"OIL,INDUST:MINERAL, ANTI-WEAR, HYDRAULIC",CASTROL,Lubricants UK Limited,6154/20,"OIL: ANTI-WEAR,HYDRAULIC,MINERAL,HYSPIN AWH-M 32,32 CST AT 40 DEG C/6.3 CST AT 100 DEG C,ISO VG 32,20 L PAIL,LIGHT YELLOW,DENSITY: 0.874 KG/L AT 15 DEG C,FLASH POINT: 180 DEG C,FORM: LIQUID,POUR POINT: -42 DEG C,VISCOSITY INDEX: 150,0.88 G/ML @ 15 DEG C DENSITY,6.41 CST @ 100 DEG C VISCOSITY,MINERAL ANTI-WEAR",2019-07-02,2,EA,83.48,USD,12181600,Oils,Transaction Completed,UKS,0.9,[2.1.1],m_p,"['OIL', 'INDUST', 'MINERAL', 'ANTI', 'WEAR', 'HYDRAULIC']","['OIL', 'ANTI', 'WEAR', 'HYDRAULIC', 'MINERAL', 'HYSPIN', 'AWH', 'M', '32', '32', 'CST', 'AT', '40', 'DEG', 'C', '6.3', 'CST', 'AT', '100', 'DEG', 'C', 'ISO', 'VG', '32', '20', 'L', 'PAIL', 'LIGHT', 'YELLOW', 'DENSITY', '0.874', 'KG', 'L', 'AT', '15', 'DEG', 'C', 'FLASH', 'POINT', '180', 'DEG', 'C', 'FORM', 'LIQUID', 'POUR', 'POINT', '42', 'DEG', 'C', 'VISCOSITY', 'INDEX', '150', '0.88', 'G', 'ML', '@', '15', 'DEG', 'C', 'DENSITY', '6.41', 'CST', '@', '100', 'DEG', 'C', 'VISCOSITY', 'MINERAL', 'ANTI', 'WEAR']",41.74
528899,4301107177,1,Free Carrier,113,"OIL,INDUST:MINERAL, ANTI-WEAR, HYDRAULIC",CASTROL,Lubricants UK Limited,6154/20,"OIL: ANTI-WEAR,HYDRAULIC,MINERAL,HYSPIN AWH-M 32,32 CST AT 40 DEG C/6.3 CST AT 100 DEG C,ISO VG 32,20 L PAIL,LIGHT YELLOW,DENSITY: 0.874 KG/L AT 15 DEG C,FLASH POINT: 180 DEG C,FORM: LIQUID,POUR POINT: -42 DEG C,VISCOSITY INDEX: 150,0.88 G/ML @ 15 DEG C DENSITY,6.41 CST @ 100 DEG C VISCOSITY,MINERAL ANTI-WEAR",2019-08-06,5,EA,198.72,USD,12181600,Oils,Transaction Completed,UKS,0.9,[2.1.1],m_p,"['OIL', 'INDUST', 'MINERAL', 'ANTI', 'WEAR', 'HYDRAULIC']","['OIL', 'ANTI', 'WEAR', 'HYDRAULIC', 'MINERAL', 'HYSPIN', 'AWH', 'M', '32', '32', 'CST', 'AT', '40', 'DEG', 'C', '6.3', 'CST', 'AT', '100', 'DEG', 'C', 'ISO', 'VG', '32', '20', 'L', 'PAIL', 'LIGHT', 'YELLOW', 'DENSITY', '0.874', 'KG', 'L', 'AT', '15', 'DEG', 'C', 'FLASH', 'POINT', '180', 'DEG', 'C', 'FORM', 'LIQUID', 'POUR', 'POINT', '42', 'DEG', 'C', 'VISCOSITY', 'INDEX', '150', '0.88', 'G', 'ML', '@', '15', 'DEG', 'C', 'DENSITY', '6.41', 'CST', '@', '100', 'DEG', 'C', 'VISCOSITY', 'MINERAL', 'ANTI', 'WEAR']",39.744
531326,4301122225,2,Free Carrier,113,"OIL,INDUST:MINERAL, ANTI-WEAR, HYDRAULIC",CASTROL,Lubricants UK Limited,6154/20,"OIL: ANTI-WEAR,HYDRAULIC,MINERAL,HYSPIN AWH-M 32,32 CST AT 40 DEG C/6.3 CST AT 100 DEG C,ISO VG 32,20 L PAIL,LIGHT YELLOW,DENSITY: 0.874 KG/L AT 15 DEG C,FLASH POINT: 180 DEG C,FORM: LIQUID,POUR POINT: -42 DEG C,VISCOSITY INDEX: 150,0.88 G/ML @ 15 DEG C DENSITY,6.41 CST @ 100 DEG C VISCOSITY,MINERAL ANTI-WEAR",2019-09-20,2,EA,81.89,USD,12181600,Oils,Transaction Completed,UKS,0.9,[2.1.1],m_p,"['OIL', 'INDUST', 'MINERAL', 'ANTI', 'WEAR', 'HYDRAULIC']","['OIL', 'ANTI', 'WEAR', 'HYDRAULIC', 'MINERAL', 'HYSPIN', 'AWH', 'M', '32', '32', 'CST', 'AT', '40', 'DEG', 'C', '6.3', 'CST', 'AT', '100', 'DEG', 'C', 'ISO', 'VG', '32', '20', 'L', 'PAIL', 'LIGHT', 'YELLOW', 'DENSITY', '0.874', 'KG', 'L', 'AT', '15', 'DEG', 'C', 'FLASH', 'POINT', '180', 'DEG', 'C', 'FORM', 'LIQUID', 'POUR', 'POINT', '42', 'DEG', 'C', 'VISCOSITY', 'INDEX', '150', '0.88', 'G', 'ML', '@', '15', 'DEG', 'C', 'DENSITY', '6.41', 'CST', '@', '100', 'DEG', 'C', 'VISCOSITY', 'MINERAL', 'ANTI', 'WEAR']",40.945
533128,4301132965,1,Free Carrier,113,"OIL,INDUST:MINERAL, ANTI-WEAR, HYDRAULIC",CASTROL,Lubricants UK Limited,6154/20,"OIL: ANTI-WEAR,HYDRAULIC,MINERAL,HYSPIN AWH-M 32,32 CST AT 40 DEG C/6.3 CST AT 100 DEG C,ISO VG 32,20 L PAIL,LIGHT YELLOW,DENSITY: 0.874 KG/L AT 15 DEG C,FLASH POINT: 180 DEG C,FORM: LIQUID,POUR POINT: -42 DEG C,VISCOSITY INDEX: 150,0.88 G/ML @ 15 DEG C DENSITY,6.41 CST @ 100 DEG C VISCOSITY,MINERAL ANTI-WEAR",2019-10-23,3,EA,127.8,USD,12181600,Oils,Transaction Completed,UKS,0.9,[2.1.1],m_p,"['OIL', 'INDUST', 'MINERAL', 'ANTI', 'WEAR', 'HYDRAULIC']","['OIL', 'ANTI', 'WEAR', 'HYDRAULIC', 'MINERAL', 'HYSPIN', 'AWH', 'M', '32', '32', 'CST', 'AT', '40', 'DEG', 'C', '6.3', 'CST', 'AT', '100', 'DEG', 'C', 'ISO', 'VG', '32', '20', 'L', 'PAIL', 'LIGHT', 'YELLOW', 'DENSITY', '0.874', 'KG', 'L', 'AT', '15', 'DEG', 'C', 'FLASH', 'POINT', '180', 'DEG', 'C', 'FORM', 'LIQUID', 'POUR', 'POINT', '42', 'DEG', 'C', 'VISCOSITY', 'INDEX', '150', '0.88', 'G', 'ML', '@', '15', 'DEG', 'C', 'DENSITY', '6.41', 'CST', '@', '100', 'DEG', 'C', 'VISCOSITY', 'MINERAL', 'ANTI', 'WEAR']",42.6
792380,4301005648,1,Delivered Duty Paid,113,"OIL,INDUST:ANTI-WEAR",CASTROL,Petrochem Group Ltd,6154/20,"OIL: ANTI-WEAR,HYDRAULIC,MINERAL,HYSPIN AWH-M 32,32 CST AT 40 DEG C/6.3 CST AT 100 DEG C,ISO VG 32,20 L PAIL,LIGHT YELLOW,DENSITY: 0.874 KG/L AT 15 DEG C,FLASH POINT: 180 DEG C,FORM: LIQUID,POUR POINT: -42 DEG C,VISCOSITY INDEX: 150,0.88 G/ML @ 15 DEG C DENSITY,6.41 CST @ 100 DEG C VISCOSITY,MINERAL ANTI-WEAR",2018-11-02,10,EA,792.0,USD,12181600,Oils,Transaction Completed,AGT,0.9,[2.1.1],m_p,"['OIL', 'INDUST', 'ANTI', 'WEAR']","['OIL', 'ANTI', 'WEAR', 'HYDRAULIC', 'MINERAL', 'HYSPIN', 'AWH', 'M', '32', '32', 'CST', 'AT', '40', 'DEG', 'C', '6.3', 'CST', 'AT', '100', 'DEG', 'C', 'ISO', 'VG', '32', '20', 'L', 'PAIL', 'LIGHT', 'YELLOW', 'DENSITY', '0.874', 'KG', 'L', 'AT', '15', 'DEG', 'C', 'FLASH', 'POINT', '180', 'DEG', 'C', 'FORM', 'LIQUID', 'POUR', 'POINT', '42', 'DEG', 'C', 'VISCOSITY', 'INDEX', '150', '0.88', 'G', 'ML', '@', '15', 'DEG', 'C', 'DENSITY', '6.41', 'CST', '@', '100', 'DEG', 'C', 'VISCOSITY', 'MINERAL', 'ANTI', 'WEAR']",79.2
