,Material/Service No.,PO Item Description,Manufacturer Name,Manufacturer Part No.,Increase percentage,From Pricebook
251,36023869 (998135C1),"ELMNT,FILTER:FINAL,HIGH EFFICIENCY",SOLAR TURBINES,998135C1,4.0,NO
227,11079009 (1112342-1201),"DRIVE,AC MTR:VARIABLE FREQUENCY,50HP,380",SOLAR,1112342-1201,7.0,NO
509,11042217 (1030794-12),"VALVE,CHK:3/8IN,2PSIG",SOLAR TURBINES,1030794-12,0.0,NO
333,10051540 (1039742),"ELMNT,FILTER:PREFILTER,AIR",SOLAR TURBINES,1039742,4.0,NO
201,36024363 (300589-703),TORCH,SOLAR TURBINES,300589-703,4.0,NO
202,11163204 (120337-25),"REGULATOR:TEMP,120DEG F,4IN",SOLAR TURBINES,120337-25,0.0,NO
421,11047501 (1025945),"HOSE,ASSY:3IN ID,46.6IN LG,SOLAR TURBINE",CATERPILLAR,1025945,0.0,NO
498,10007939 (903316C1),"PLUG,SPARK:23.8MM DIA,MATERIAL: CARBON S",SOLAR TURBINES,903316C1,6.0,NO
417,11046758 (961017C1),"HOSE,ASSY:DISCHARGE,FLEXIBLE LOOP,3/4IN",CATERPILLAR,961017C1,1.0,NO
252,11024900 (917560C2),EXCITER:IGNITION,SOLAR TURBINES,917560C2,7.0,NO
323,10174305 (1078159-1),"GSKT:23.35IN ID,30.48IN OD,NON ROUND,VIT",SOLAR TURBINES,1078159-1,1.0,NO
58,11114229 (120835-16),VALVE:F/ GAS INLET,SOLAR TURBINES,120835-16,0.0,NO
3,11165868 (1060184),"CABLE,COAXIAL:TYPE RG6/U,ARMOURED SHIELD",SOLAR TURBINES,1060184,0.0,NO
136,36024600 (970287C1),"REGULATOR,PRESSURE:",SOLAR TURBINES,970287C1,1.0,NO
486,36024370 (993359C1),O-RNG:RBR,SOLAR TURBINES,993359C1,2.0,NO
446,36500615239 (1036679-10),"SWTCH,PRESSURE/VACUUM:DIFF,0 TO 45IN WC",SOLAR TURBINES,1036679-10,3.0,NO
